"date","N","variable","value"
2020-01-07,24076,"anger",NA
2020-01-08,24000,"anger",NA
2020-01-09,28719,"anger",NA
2020-01-10,25201,"anger",NA
2020-01-11,20253,"anger",NA
2020-01-12,20505,"anger",NA
2020-01-13,24801,"anger",-0.023768277516949
2020-01-14,26656,"anger",-0.0526780422099579
2020-01-15,25818,"anger",-0.0573964615711481
2020-01-16,26850,"anger",-0.0434894327617886
2020-01-17,24174,"anger",-0.0584801996454043
2020-01-18,19488,"anger",-0.0650209849845202
2020-01-19,20042,"anger",-0.08378943390794
2020-01-20,24495,"anger",-0.0584045410798134
2020-01-21,26887,"anger",-0.0371390269782305
2020-01-22,23810,"anger",-0.0382351981572855
2020-01-23,27086,"anger",-0.0572298296083096
2020-01-24,24465,"anger",-0.0581955587303941
2020-01-25,17734,"anger",-0.0499579865688523
2020-01-26,18188,"anger",-0.050152207751543
2020-01-27,22899,"anger",-0.077119824520829
2020-01-28,26893,"anger",-0.101290827299825
2020-01-29,23706,"anger",-0.119547489814374
2020-01-30,25342,"anger",-0.130377997488308
2020-01-31,21099,"anger",-0.129422299713322
2020-02-01,14437,"anger",-0.148310840990385
2020-02-02,19327,"anger",-0.116449647719047
2020-02-03,26098,"anger",-0.103362919217575
2020-02-04,26927,"anger",-0.0980082611613113
2020-02-05,29462,"anger",-0.0819093099199856
2020-02-06,29492,"anger",-0.0650814840916194
2020-02-07,27633,"anger",-0.0769123212232736
2020-02-08,19878,"anger",-0.0531441738139563
2020-02-09,19375,"anger",-0.0786158165873786
2020-02-10,26090,"anger",-0.087665655562187
2020-02-11,29678,"anger",-0.0769917508288639
2020-02-12,25812,"anger",-0.0968394612661537
2020-02-13,27375,"anger",-0.104329665638247
2020-02-14,27251,"anger",-0.0865137775636371
2020-02-15,18966,"anger",-0.0903532493190626
2020-02-16,19685,"anger",-0.0932788312168733
2020-02-17,26578,"anger",-0.0821375845562651
2020-02-18,27099,"anger",-0.0774329852503374
2020-02-19,24424,"anger",-0.05780016117863
2020-02-20,25827,"anger",-0.0206761662111997
2020-02-21,25080,"anger",-0.0218862010551713
2020-02-22,19409,"anger",-0.0342309389592518
2020-02-23,24414,"anger",-0.0410844926246141
2020-02-24,28657,"anger",-0.0498770336664861
2020-02-25,35943,"anger",-0.0676809424876686
2020-02-26,37702,"anger",-0.074864385305257
2020-02-27,41752,"anger",-0.125023671301597
2020-02-28,35822,"anger",-0.130132203137151
2020-02-29,25370,"anger",-0.122370276293776
2020-03-01,6835,"anger",-0.119193571449946
2020-03-02,3072,"anger",-0.107166176815192
2020-03-03,1893,"anger",-0.0795047855378406
2020-03-04,1291,"anger",-0.0813662064900734
2020-03-05,1003,"anger",-0.118822382803694
2020-03-06,11946,"anger",-0.160616623089387
2020-03-07,207,"anger",-0.164426532028214
2020-03-08,137,"anger",-0.18228869761359
2020-03-09,12099,"anger",-0.217511234174331
2020-03-10,22458,"anger",-0.249680800437353
2020-03-11,24327,"anger",-0.267335572898766
2020-03-12,29652,"anger",-0.225432571438355
2020-03-13,43191,"anger",-0.180388428030586
2020-03-14,33038,"anger",-0.172767677763851
2020-03-15,45727,"anger",-0.148664571730777
2020-03-16,41013,"anger",-0.115083852945707
2020-03-17,40185,"anger",-0.0952563264296846
2020-03-18,38988,"anger",-0.0714210596782168
2020-03-19,36193,"anger",-0.0621500145719229
2020-03-20,33285,"anger",-0.0765345459149442
2020-03-21,27818,"anger",-0.090604991603319
2020-03-22,29800,"anger",-0.0915879957903257
2020-03-23,30122,"anger",-0.112538688865975
2020-03-24,32487,"anger",-0.115251191662499
2020-03-25,30276,"anger",-0.121063090839963
2020-03-26,33030,"anger",-0.128672600297414
2020-03-27,33123,"anger",-0.124598855271426
2020-03-28,24135,"anger",-0.12132143668148
2020-03-29,2175,"anger",-0.15603319134859
2020-03-30,42614,"anger",-0.145953452619766
2020-03-31,30546,"anger",-0.158192426318819
2020-04-01,29115,"anger",-0.156875595332337
