"date","N","variable","value"
2020-06-30,611,"anger",-0.580265814337173
2020-06-29,566,"anger",0.00495550315582927
2020-06-28,397,"anger",-0.406617286469802
2020-06-27,635,"anger",-0.524621270895874
2020-06-26,592,"anger",-0.580961963613298
2020-06-25,818,"anger",-0.315896931845566
2020-06-24,909,"anger",-0.0937436902564629
2020-06-23,650,"anger",-0.53678587174251
2020-06-22,826,"anger",-0.308738180518503
2020-06-21,794,"anger",0.0529468765131537
2020-06-20,787,"anger",-0.0499939306136058
2020-06-19,761,"anger",-0.538649419825644
2020-06-18,699,"anger",-0.414609175300275
2020-06-17,722,"anger",-0.0677405961004486
2020-06-16,517,"anger",-0.327725174583265
2020-06-15,765,"anger",-0.298943628283377
2020-06-14,839,"anger",-0.341611446436186
2020-06-13,679,"anger",-0.614504562873426
2020-06-12,550,"anger",0.288537671058844
2020-06-11,439,"anger",-0.469899211570888
2020-06-10,644,"anger",-0.390120152689527
2020-06-09,766,"anger",-0.108187089718563
2020-06-08,977,"anger",0.469672568491246
2020-06-07,599,"anger",0.109697147991079
2020-06-06,514,"anger",-0.23415443731485
2020-06-05,615,"anger",0.111289397108605
2020-06-04,798,"anger",0.0636484605944755
2020-06-03,909,"anger",0.408833058816233
2020-06-02,695,"anger",0.38708867429921
2020-06-01,364,"anger",0.0214448707479192
2020-05-31,225,"anger",-0.0378195312190404
2020-05-30,359,"anger",-0.794553887206424
2020-05-29,461,"anger",-0.163862961371043
2020-05-28,421,"anger",-0.684244554809312
2020-05-27,427,"anger",-0.447987605285755
2020-05-26,706,"anger",0.0572864291410748
2020-05-25,649,"anger",-0.00275048437886493
2020-05-24,408,"anger",-0.510539698624908
2020-05-22,468,"anger",-0.305274093189786
2020-05-20,518,"anger",-0.423941363321349
2020-05-19,462,"anger",-0.381565071821523
2020-05-18,466,"anger",-0.317582694562535
2020-05-17,532,"anger",0.335757903900235
2020-05-15,534,"anger",0.113504346511218
2020-05-14,382,"anger",-0.334622500107865
2020-05-13,596,"anger",-0.694500111013771
2020-05-12,749,"anger",-0.471037657203952
2020-05-11,608,"anger",-0.232022808657127
2020-05-10,343,"anger",0.299532971193197
2020-05-09,215,"anger",-0.865987582202611
2020-05-08,330,"anger",0.00975361611864911
2020-05-07,408,"anger",-0.686473058393991
