"date","variable","value"
2020-01-03,"anger",-0.0213723473672132
2020-01-10,"anger",-0.0744177001012934
2020-01-17,"anger",-0.112477563237429
2020-01-24,"anger",0.0117866610754562
2020-01-31,"anger",-0.192435275469037
2020-02-07,"anger",-0.0467020144207445
2020-02-14,"anger",-0.00699805950640325
2020-02-21,"anger",0.228272782472755
2020-02-28,"anger",0.0611248742653741
2020-03-06,"anger",0.00872636454267481
2020-03-13,"anger",-0.293831086569786
2020-03-20,"anger",-0.185306954719246
2020-03-27,"anger",-0.154621286278259
2020-04-03,"anger",-0.117968526465343
2020-04-10,"anger",-0.174918009637109
2020-04-17,"anger",-0.178874210410519
2020-04-24,"anger",-0.0868295763236417
2020-05-01,"anger",-0.122033236278909
2020-05-08,"anger",-0.0578405242941528
2020-05-15,"anger",-0.126448862305614
2020-05-22,"anger",-0.0867908924964928
2020-05-29,"anger",0.0234739634732063
2020-06-05,"anger",0.165096458549041
2020-06-12,"anger",-0.0507677974291354
2020-06-19,"anger",-0.0549292659250883
2020-06-26,"anger",-0.00155639079144944
2020-07-03,"anger",-0.0728749840128631
2020-07-10,"anger",-0.0885136035085726
2020-07-17,"anger",-0.045266447555469
2020-07-24,"anger",-0.116891974046926
2020-07-31,"anger",-0.0827202336148269
2020-08-07,"anger",-0.131356117818345
2020-08-14,"anger",-0.0737212711601165
2020-08-21,"anger",-0.12711157349886
2020-08-28,"anger",-0.13627044520339
2020-09-04,"anger",-0.141818742195166
2020-09-11,"anger",-0.0858250865469503
2020-09-18,"anger",-0.126439643482047
2020-09-25,"anger",-0.128650096031148
2020-10-02,"anger",-0.127663264259927
2020-10-09,"anger",-0.182882862041896
2020-10-16,"anger",-0.0900052596513835
2020-10-23,"anger",-0.1463841691721
2020-10-30,"anger",-0.0679829659797674
2020-11-06,"anger",-0.079966096477314
2020-11-13,"anger",-0.0229855955131132
2020-11-20,"anger",-0.19296631843186
2020-11-27,"anger",-0.0626611154755738
2020-12-04,"anger",-0.178186332641824
2020-12-11,"anger",-0.0633638524620871
2020-12-18,"anger",-0.172876416202953
2020-12-25,"anger",-0.26900882404955
2021-01-01,"anger",-0.222201227264492
2021-01-08,"anger",-0.0919598455389867
2021-01-15,"anger",-0.186195498499583
2021-01-22,"anger",-0.173105655111317
2021-01-29,"anger",-0.0136162396209829
2021-02-05,"anger",-0.0741493359454338
2021-02-12,"anger",-0.169694524756133
2021-02-19,"anger",-0.0921013379254079
2021-02-26,"anger",-0.190116400038947
2021-03-05,"anger",-0.0811478504293484
2021-03-12,"anger",-0.185665850000121
2021-03-19,"anger",-0.122167578398817
2020-01-06,"anger",0.101720948310729
2020-01-13,"anger",-0.111482727079148
2020-01-20,"anger",-0.0896066041250017
2020-01-27,"anger",0.00692500846065364
2020-02-03,"anger",-0.0521422105026523
2020-02-10,"anger",-0.170532508796828
2020-02-17,"anger",-0.0163224240479541
2020-02-24,"anger",-0.133481105007824
2020-03-02,"anger",0.194151744729129
2020-03-09,"anger",-0.116311550242615
2020-03-16,"anger",-0.234969369380831
2020-03-23,"anger",-0.192876634540014
2020-03-30,"anger",-0.192547838136631
2020-04-06,"anger",-0.17330774949733
2020-04-13,"anger",-0.178702080696881
2020-04-20,"anger",-0.196101845643104
2020-04-27,"anger",-0.061791986579331
2020-05-04,"anger",-0.224833568626428
2020-05-11,"anger",-0.213531425407339
2020-05-18,"anger",-0.0922772272019513
2020-05-25,"anger",-0.12494719061611
2020-06-01,"anger",0.155435399887152
2020-06-08,"anger",-0.036269641662314
2020-06-15,"anger",-0.151423417532079
2020-06-22,"anger",0.0245646448063865
2020-06-29,"anger",-0.0754402718111118
2020-07-06,"anger",-0.126435825468874
2020-07-13,"anger",-0.181038854989503
2020-07-20,"anger",-0.0993020592110718
2020-07-27,"anger",-0.154362390943684
2020-08-03,"anger",-0.139718951474429
2020-08-10,"anger",-0.162449008575133
2020-08-17,"anger",-0.158660636551159
2020-08-24,"anger",-0.00944036097998367
2020-08-31,"anger",-0.133616760837618
2020-09-07,"anger",-0.0919975274763486
2020-09-14,"anger",-0.0909163784784892
2020-09-21,"anger",-0.178280501867317
2020-09-28,"anger",-0.142288103569789
2020-10-05,"anger",-0.14714179153427
2020-10-12,"anger",-0.184603140028388
2020-10-19,"anger",-0.133373689861869
2020-10-26,"anger",-0.136594831926812
2020-11-02,"anger",0.0678686618202533
2020-11-09,"anger",-0.0374812290854845
2020-11-16,"anger",-0.116940442400813
2020-11-23,"anger",-0.198473139207163
2020-11-30,"anger",-0.173333824152076
2020-12-07,"anger",-0.0814662161722015
2020-12-14,"anger",-0.182933034665801
2020-12-21,"anger",-0.219617802315622
2020-12-28,"anger",-0.149902787534142
2021-01-04,"anger",-0.178369252798033
2021-01-11,"anger",-0.186163545827357
2021-01-18,"anger",-0.210835051145211
2021-01-25,"anger",-0.184306024310984
2021-02-01,"anger",-0.136037473770636
2021-02-08,"anger",-0.159893054991368
2021-02-15,"anger",-0.169401232613018
2021-02-22,"anger",-0.179245957326053
2021-03-01,"anger",-0.11534350225554
2021-03-08,"anger",0.116411807130999
2021-03-15,"anger",-0.203573393059373
2021-03-22,"anger",-0.111365845389189
2020-01-04,"anger",-0.0339857799082462
2020-01-11,"anger",-0.0429749246072921
2020-01-18,"anger",0.122731447173158
2020-01-25,"anger",-0.100200935025514
2020-02-01,"anger",-0.132472699933503
2020-02-08,"anger",-0.145184242480807
2020-02-15,"anger",-0.0776336924109626
2020-02-22,"anger",0.0941086518562586
2020-02-29,"anger",0.073388125878077
2020-03-07,"anger",-0.0153600589416652
2020-03-14,"anger",-0.263469126820854
2020-03-21,"anger",-0.136509687124603
2020-03-28,"anger",-0.168586905205034
2020-04-04,"anger",-0.162483690853197
2020-04-11,"anger",-0.233362219579899
2020-04-18,"anger",-0.176112493351563
2020-04-25,"anger",-0.0220582246302532
2020-05-02,"anger",-0.055696085812204
2020-05-09,"anger",-0.0162860079603111
2020-05-16,"anger",-0.155476915999156
2020-05-23,"anger",-0.223440773648934
2020-05-30,"anger",-0.119101698294871
2020-06-06,"anger",0.0616100576268353
2020-06-13,"anger",-0.0733848175562306
2020-06-20,"anger",-0.132891723802724
2020-06-27,"anger",-0.0602661132267099
2020-07-04,"anger",-0.163106725710331
2020-07-11,"anger",-0.054308083212063
2020-07-18,"anger",-0.0852603298618566
2020-07-25,"anger",-0.192635373962411
2020-08-01,"anger",-0.134881348027045
2020-08-08,"anger",-0.151194072739162
2020-08-15,"anger",-0.138572049397574
2020-08-22,"anger",-0.143282544834199
2020-08-29,"anger",-0.0685387142349366
2020-09-05,"anger",-0.0696658369857205
2020-09-12,"anger",-0.0170024784570625
2020-09-19,"anger",-0.101628577357363
2020-09-26,"anger",-0.151065780503433
2020-10-03,"anger",-0.114149283615698
2020-10-10,"anger",-0.139274620795073
2020-10-17,"anger",-0.0295810302184721
2020-10-24,"anger",-0.255033252557785
2020-10-31,"anger",-0.106846464066572
2020-11-07,"anger",-0.195659829564593
2020-11-14,"anger",-0.235363361191428
2020-11-21,"anger",-0.188062587405017
2020-11-28,"anger",-0.144134052257422
2020-12-05,"anger",-0.164821831182847
2020-12-12,"anger",-0.113703999808304
2020-12-19,"anger",-0.0880304049982896
2020-12-26,"anger",-0.135812546778037
2021-01-02,"anger",-0.169641929704921
2021-01-09,"anger",-0.116233720464191
2021-01-16,"anger",-0.16072352031227
2021-01-23,"anger",-0.14241340454956
2021-01-30,"anger",-0.0493016531133986
2021-02-06,"anger",-0.0328502816980914
2021-02-13,"anger",-0.132576002312245
2021-02-20,"anger",-0.158297185547906
2021-02-27,"anger",-0.161202247377893
2021-03-06,"anger",-0.0514135850298304
2021-03-13,"anger",-0.0861355221879813
2021-03-20,"anger",-0.159259674435843
2020-01-05,"anger",0.0265940802852766
2020-01-12,"anger",-0.172013185092489
2020-01-19,"anger",-0.015015165034106
2020-01-26,"anger",-0.185348584353306
2020-02-02,"anger",-0.152274495170274
2020-02-09,"anger",-0.0931866745089027
2020-02-16,"anger",-0.082260717532146
2020-02-23,"anger",-0.0300339999591704
2020-03-01,"anger",0.152514207858159
2020-03-08,"anger",0.0155474779448709
2020-03-15,"anger",-0.2258126206374
2020-03-22,"anger",-0.215870128484059
2020-03-29,"anger",-0.205012836349295
2020-04-05,"anger",-0.162810881181863
